,date,precipitation,avg_temp,lowest_temp,highest_temp,is_rain,is_snow,is_holiday
303,2021-10-31,0.1,12.4,6.4,20.2,True,False,True
304,2021-11-01,0.0,12.6,8.0,19.1,False,False,False
305,2021-11-02,0.3,10.9,6.0,17.1,True,False,False
306,2021-11-03,0.1,11.0,5.6,17.8,True,False,False
307,2021-11-04,0.4,11.5,6.0,18.9,True,False,False
308,2021-11-05,0.0,11.5,5.6,19.2,False,False,False
309,2021-11-06,0.0,12.7,6.6,20.3,False,False,True
310,2021-11-07,0.1,14.0,7.3,20.7,True,False,True
311,2021-11-08,22.5,10.4,6.2,16.8,True,False,False
312,2021-11-09,2.5,7.2,4.9,10.2,True,False,False
313,2021-11-10,3.2,6.5,3.8,9.2,True,False,False
314,2021-11-11,1.2,7.0,3.6,11.0,True,False,False
315,2021-11-12,0.6,5.6,2.1,9.7,True,False,False
316,2021-11-13,0.0,7.1,0.8,14.2,False,False,True
317,2021-11-14,0.0,9.4,3.9,16.6,False,False,True
318,2021-11-15,0.0,8.7,3.5,16.1,False,False,False
319,2021-11-16,0.0,8.0,3.0,15.4,False,False,False
320,2021-11-17,0.0,7.3,0.9,14.4,False,False,False
321,2021-11-18,0.0,9.8,3.5,16.4,False,False,False
322,2021-11-19,0.0,11.0,5.5,17.6,False,False,False
323,2021-11-20,0.0,9.7,5.3,16.7,False,False,True
324,2021-11-21,0.6,10.4,5.7,15.6,True,False,True
325,2021-11-22,2.4,5.7,1.3,12.0,True,False,False
326,2021-11-23,1.1,2.5,-0.4,5.4,True,False,False
327,2021-11-24,0.2,5.8,0.8,10.8,True,False,False
328,2021-11-25,0.0,7.6,2.4,13.6,False,False,False
329,2021-11-26,0.0,4.8,0.0,10.7,False,False,False
330,2021-11-27,0.0,3.4,-1.5,10.7,False,False,True
331,2021-11-28,0.0,4.5,-2.5,13.2,False,False,True
332,2021-11-29,0.0,6.4,-0.4,14.4,False,False,False
333,2021-11-30,22.9,6.4,2.1,11.1,True,False,False
334,2021-12-01,0.4,1.0,-2.2,3.7,True,False,False
335,2021-12-02,0.1,1.8,-4.1,7.1,True,False,False
336,2021-12-03,0.6,4.1,0.2,8.4,True,False,False
337,2021-12-04,0.0,2.2,-2.6,7.9,False,False,True
338,2021-12-05,0.0,2.6,-3.1,10.2,False,False,True
339,2021-12-06,0.0,5.0,-0.9,12.8,False,False,False
340,2021-12-07,0.5,5.7,0.4,12.6,True,False,False
341,2021-12-08,0.0,5.1,0.1,12.6,False,False,False
342,2021-12-09,0.0,5.6,0.0,11.6,False,False,False
343,2021-12-10,0.4,7.1,2.8,12.2,True,False,False
344,2021-12-11,0.0,7.0,3.0,11.9,False,False,True
345,2021-12-12,0.0,4.3,-1.2,9.2,False,False,True
346,2021-12-13,0.0,-0.9,-5.2,4.3,False,False,False
347,2021-12-14,0.2,2.4,-4.2,8.0,True,False,False
348,2021-12-15,0.6,6.2,1.6,12.0,True,False,False
349,2021-12-16,0.6,5.9,2.6,10.1,True,False,False
350,2021-12-17,0.4,-1.5,-7.1,6.4,False,True,False
351,2021-12-18,0.5,-3.8,-10.1,1.5,False,True,True
352,2021-12-19,0.5,0.9,-3.6,5.3,True,False,True
353,2021-12-20,0.0,5.0,-1.8,11.1,False,False,False
